block_address_expanded,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,total
5800 AZTECA DR,,,,,1,,,,,,,,1
5800 BLUE RIBBON RD,,,,,1,,,,,,,,1
5800 BOCA CIRCA,1,,,,,,,,,,,,1
5800 BONNELL AV,,,1,,,,,,,,,,1
5800 BRENTWOOD STAIR RD,,,1,,,,,,,,,,1
5800 BRIARWOOD PK,,,,1,,,,,,,,,1
5800 BRIDAL TRL,,,,,,1,,,,,,,1
5800 CAHOBA DR,,,,,,1,,,,,,,1
5800 CHIMNEY WOOD CIR,,,,1,,,,,,,,,1
5800 COMANCHE PEAK DR,,,,,,1,,,,,,,1
5800 COUNTRY VALLEY LN,,,,,,1,,,,,,,1
5800 DALLAS AV,1,,,,,,,,,,,,1
5800 DUROTHY RD,,,,,,1,,,,,,,1
5800 E INTERSTATE 820 FREEWAY S,,,,1,,,,,,,,,1
5800 EAST FREEWAY,,,,,1,,,,,,,,1
5800 EAST LOOP INTERSTATE 820 820 NORTH,,,,,1,,,,,,,,1
5800 EAST LOOP INTERSTATE 820 820 SOUTH FREEWAY,,,,,,,1,,,,,,1
5800 FAIR WIND ST,,,,,,1,,,,,,,1
5800 FAIRCREST CV,,,,,1,,,,,,,,1
5800 FANTAIL DR,,,,,,1,,,,,,,1
5800 FARNSWORTH AVE,,,,,1,,,,,,,,1
5800 FLETCHER AV,,1,,,,,,,,,,,1
5800 GATEWAY DR,,,1,,,,,,,,,,1
5800 GEDDES AV,,1,,,,,,,,,,,1
5800 GRANBURY RD,,,,,,1,,,,,,,1
5800 HOUGHTON AV,1,,,,,,,,,,,,1
5800 KILPATRICK AV,,1,,,,,,,,,,,1
5800 LAMB CREEK DR,,,,,1,,,,,,,,1
5800 LINCOLN MEADOW,,1,,,,,,,,,,,1
5800 MACEO LN,,,,,1,,,,,,,,1
5800 MAIDEN LN,,,,,,1,,,,,,,1
5800 MALVEY AV,,1,,,,,,,,,,,1
5800 MCCART AVE,,,,1,,,,,,,,,1
5800 MELANIE CT,,,1,,,,,,,,,,1
5800 MELANIE DR,,,,,1,,,,,,,,1
5800 NORTH FW,,1,,,,,,,,,,,1
5800 NORTHFIELD DR,,,,,,1,,,,,,,1
5800 OAKBEND TRL,,,,,,1,,,,,,,1
5800 RAYBURN DR,,,,1,,,,,,,,,1
5800 RIDGEROCK CT,,,,,1,,,,,,,,1
5800 S HULEN,,,,,,1,,,,,,,1
5800 SANDRA DR,,,,,,1,,,,,,,1
5800 SPRINGTIDE DR,,,,1,,,,,,,,,1
5800 SUGAR MAPLE DR,,,,1,,,,,,,,,1
5800 SWORDS DR,,,,,,1,,,,,,,1
5800 T SANDSHELL DR WE,,,,1,,,,,,,,,1
5800 VALLEY HAVEN WAY,,,,,,1,,,,,,,1
5800 VOLDER DR,,,,1,,,,,,,,,1
5800 WALLA AVE,,,,,1,,,,,,,,1
5800 WIMBLETON WAY,1,,,,,,,,,,,,1
5800 WONDER DR,,,,,1,,,,,,,,1
5900 4 CALLASTON LN,,1,,,,,,,,,,,1
5900 ASBURY AV,,1,,,,,,,,,,,1
5900 BAYLOR ST,,,,,,1,,,,,,,1
5900 BOCA RATON BLVD,,,,,,,,,,,,1,1
5900 BOWMAN ROBERTS RD,,,1,,,,,,,,,,1
5900 BRENTWOOD STAIR RD,,,,,1,,,,,,,,1
5900 CHIMNEY WOOD CI,1,,,,,,,,,,,,1
5900 DIAZ AV,,,1,,,,,,,,,,1
5900 EASTLAND ST,,,,1,,,,,,,,,1
5900 ELIZABETH NICOLE LN,,,,,,1,,,,,,,1
5900 FARNSWORTH AVE,,,,1,,,,,,,,,1
5900 FITZHUGH AVE,,,,,1,,,,,,,,1
5900 GOODMAN AVE,,,,1,,,,,,,,,1
5900 HIGH CREEK DR,,,,,1,,,,,,,,1
5900 INTERSTATE 20 LITTLE UT,,,,1,,,,,,,,,1
5900 JIM WRIGHT FREEWAY,,1,,,,,,,,,,,1
5900 KILPATRICK AV,1,,,,,,,,,,,,1
5900 LOVELL AV,1,,,,,,,,,,,,1
5900 MACKEREL DR,,,,,,,1,,,,,,1
5900 MAIDEN LN,,,,,,1,,,,,,,1
5900 MELANIE DR,,1,,,,,,,,,,,1
5900 MONTAGUE ST,,,1,,,,,,,,,,1
5900 MONTERREY DR,,,,,1,,,,,,,,1
5900 OLD DENTON RD,,,,,,1,,,,,,,1
5900 OPTICAL WAY,,,,,,1,,,,,,,1
5900 PACERS LN,,,,,1,,,,,,,,1
5900 PORTRIDGE DR,,,,,1,,,,,,,,1
5900 RIDGE LAKE DR,,,,1,,,,,,,,,1
5900 SEABREEZE LN,,,,,1,,,,,,,,1
5900 SHADY SPRINGS TRL,,,,,,1,,,,,,,1
5900 SIDEWINDER TR,1,,,,,,,,,,,,1
5900 SOUTH FREEWAY,,,,,1,,,,,,,,1
5900 SOUTHWEST LOOP INTERSTATE 820 820 SERVICE ROAD,,,1,,,,,,,,,,1
5900 STARBOARDWAY DR,,,,1,,,,,,,,,1
5900 STATE HWY,,,,,,1,,,,,,,1
5900 TEN MILE BRIDGE RD,,,,,,1,,,,,,,1
5900 TENSION DR,,,,1,,,,,,,,,1
5900 TROUT DR,,,,,,,,1,,,,,1
5900 VILLAGE COURSE,,,,,,1,,,,,,,1
5900 VILLAGE COURSE CI,,1,,,,,,,,,,,1
5900 WAITS AV,1,,,,,,,,,,,,1
5900 WALNUT RIDGE,1,,,,,,,,,,,,1
5900 WELLESLEY AV,,,1,,,,,,,,,,1
5900 WESTGATE DR,,,,,1,,,,,,,,1
5900 WONDER DR,1,,,,,,,,,,,,1
5900 YOLANDA DR,,,,,,1,,,,,,,1
5TH AV W RICHMOND AV,,,1,,,,,,,,,,1
5TH SPUR 280 SPUR 280 6TH,,,,,,,,,1,,,,1
600 10TH AV,1,,,,,,,,,,,,1
600 7 OLD HWY,,1,,,,,,,,,,,1
600 ALTA DR,,,,,,,,,,,1,,1
600 ANNAPOLIS DR,,,,,,1,,,,,,,1
600 ATLANTA ST,1,,,,,,,,,,,,1
600 BAY LAUREL LN,,,,1,,,,,,,,,1
600 BEN AVE,,,,,1,,,,,,,,1
600 BENTON AVE,,,,,1,,,,,,,,1
600 BRIDGEWOOD CI,,,1,,,,,,,,,,1
600 BRYAN AV,,1,,,,,,,,,,,1
600 BUDDY L DR,,,1,,,,,,,,,,1
600 CABRAL CIR,,,,,1,,,,,,,,1
600 CALHOUN ST,,,,,,1,,,,,,,1
600 CANYON CREEK TRL,,,,1,,,,,,,,,1
600 CARROLL ST,,,,,,1,,,,,,,1
600 CATALPA RD,,,,,1,,,,,,,,1
600 CLAIREMONT AV,,1,,,,,,,,,,,1
600 COOKS LN,,1,,,,,,,,,,,1
600 COURT ST,,,,,1,,,,,,,,1
600 CRAWFORD ST,,1,,,,,,,,,,,1
600 DEAUVILLE DR,,1,,,,,,,,,,,1
600 DESTIN DR,,,,,,1,,,,,,,1
600 DOROTHY LN,,,,,1,,,,,,,,1
600 E BUTLER ST,,,,,,,,,,,1,,1
600 E INTERSTATE 820 FREEWAY N,,,,,,1,,,,,,,1
600 E ROSEDALE ST,,,,,,,,,,,1,,1
600 EAST LOOP INTERSTATE 820 820 NORTH FREEWAY,,,,,,,,1,,,,,1
600 ELEKTOY WAY,,1,,,,,,,,,,,1
600 FOCH ST,,,,,,1,,,,,,,1
600 FOREST PARK BL,,,,,,,,,,,,1,1
600 GOLDSTONE LN,,,,,,1,,,,,,,1
600 HEIGHTS DR APT,,,1,,,,,,,,,,1
600 HERITAGE TRACE PK,,,,1,,,,,,,,,1
600 HIGH WOODS TRL,,,,1,,,,,,,,,1
600 HUDGINS AV,,,1,,,,,,,,,,1
600 ILLINOIS AVE,,,,1,,,,,,,,,1
600 LAMAR ST,,,,1,,,,,,,,,1
600 LIONEL WAY,1,,,,,,,,,,,,1
600 LITTLE HORSE TR,,,1,,,,,,,,,,1
600 LUXTON ST,,,,,1,,,,,,,,1
600 MARION AV,1,,,,,,,,,,,,1
600 MC HOUSTON ST,,,,,,,,1,,,,,1
600 MCCON,,,,,,,,,,,,1,1
600 MEACHAM BL,,,,1,,,,,,,,,1
600 MISSOURI AVE,,,,,,1,,,,,,,1
600 NORTHWEST LOOP INTERSTATE 820,,,,1,,,,,,,,,1
600 PAINT PONY TRL N,,,,,,1,,,,,,,1
600 PENTA RD,,,,,1,,,,,,,,1
600 PINEVIEW LN,,,,,,1,,,,,,,1
600 RAVINE RD,,1,,,,,,,,,,,1
600 SANDY LN,,,1,,,,,,,,,,1
600 SANDY TR,,,1,,,,,,,,,,1
600 SCHIEME,,,,1,,,,,,,,,1
600 SOUTHEAST LOOP INTERSTATE 820,,1,,,,,,,,,,,1
600 SOUTHEAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,1,,,,,,,1
600 SUNRISE CT,,,,,1,,,,,,,,1
600 TRAVIS AV,,,1,,,,,,,,,,1
600 UNIVERSITY DR,,1,,,,,,,,,,,1
600 WATERCHASE DR,,1,,,,,,,,,,,1
600 WESTVIEW AVE,,,,,1,,,,,,,,1
600 WESTWOOD AVE,,,,,,,,,,,,1,1
600 WHITE FALCON WAY,,,,,,1,,,,,,,1
6000 ARABIAN AVE,,,,,1,,,,,,,,1
6000 BIG FLAT DR,,,,1,,,,,,,,,1
6000 BOAT CLUB RD,,,,,1,,,,,,,,1
6000 BRIDAL TR,,,1,,,,,,,,,,1
6000 CAMP BOWIE BLVD,,,,,,,,,,,,1,1
6000 CHOLLA DR,,,,,,1,,,,,,,1
6000 COSTEN LN,,,,,1,,,,,,,,1
6000 CROMWELL MARINE CREE RD,,,,,,,,,,,1,,1
6000 CROMWELL MARINE CRK RD,,,1,,,,,,,,,,1
6000 DALLAS AVE,,,,,1,,,,,,,,1
6000 DALLAS AVE E,,,,,1,,,,,,,,1
6000 DIRKS RD,,,,,,1,,,,,,,1
6000 EAST FW,,,,1,,,,,,,,,1
6000 ELLIOT REEDER RD,,,1,,,,,,,,,,1
6000 GRAYSON ST,,,,,,1,,,,,,,1
6000 GREENLEE ST,,,,,,1,,,,,,,1
6000 HEREFORD DR,,,,,,1,,,,,,,1
6000 LACEBARK ELM DR,,,1,,,,,,,,,,1
6000 LANTANA LN,,,,,1,,,,,,,,1
6000 LOVELL AV,1,,,,,,,,,,,,1
6000 LUBBOCK AVE,,,,,,1,,,,,,,1
6000 MALVEY AV,,,1,,,,,,,,,,1
6000 MARK IV PK,,,,,,1,,,,,,,1
6000 MARTINDALE CIR,,,,,,1,,,,,,,1
6000 PLAZA CI,1,,,,,,,,,,,,1
6000 RAMEY AV,1,,,,,,,,,,,,1
6000 RAYBURN DR,,1,,,,,,,,,,,1
6000 RIDGECREST TRL,,,,,,1,,,,,,,1
6000 SHINER DR,,,,,,1,,,,,,,1
6000 SOUTHWEST LOOP INTERSTATE 820 820 SERVICE ROAD,,,1,,,,,,,,,,1
6000 STIRRUP IRON DR,,,,,,1,,,,,,,1
6000 TRINITY FORK DR,,1,,,,,,,,,,,1
6000 WALRAVEN CI,,1,,,,,,,,,,,1
6000 WARMOUTH DR,,,,,,,,1,,,,,1
6000 WELCH AV,,,,1,,,,,,,,,1
6000 WINIFRED DR,,1,,,,,,,,,,,1
6000 WJ,,,,,,,,,,,1,,1
6000 WOODWAY DR,,,,,,,,,,,1,,1
6100 ALLATOONA RD,,,,,,,,,,,,1,1
6100 AMBERJACK TRL,,,,1,,,,,,,,,1
6100 BOWIN DR,,,,,,1,,,,,,,1
6100 CAMPUS DR,,,,,,1,,,,,,,1
6100 COLUMBUS TR,,,1,,,,,,,,,,1
6100 COMFORT DR,,,,,1,,,,,,,,1
6100 E INTERSTATE,,,,,1,,,,,,,,1
6100 EAST LOOP INTERSTATE 820 820 SOUTH SERVICE ROAD,,,,,,,,,,,,1,1
6100 FARRAH DR,,,,,,1,,,,,,,1
6100 INDIGO CT,,,,1,,,,,,,,,1
6100 JACKSBORO HW,,1,,,,,,,,,,,1
6100 JOE ELLA LN,,,,,1,,,,,,,,1
6100 LENWAY AVE,,,,,1,,,,,,,,1
6100 LTJG BARNETT RD,,,,,,,1,,,,,,1
6100 MADOC FORK DR,,,,,1,,,,,,,,1
6100 MCCART AVE,,,,1,,,,,,,,,1
6100 MEANDERING RD,,,,,1,,,,,,,,1
6100 MELANIE DR,,,,,,1,,,,,,,1
6100 N HEIGHTSVIEW LN,,,,,,,,,,,1,,1
6100 NORTHWEST LOOP INTERSTATE 820,,,1,,,,,,,,,,1
6100 NW JIM WRIGHT FREEWAY,,,,1,,,,,,,,,1
6100 OAKBEND TRL,,,,,,1,,,,,,,1
6100 OLD DENTON RD,,,,,1,,,,,,,,1
6100 OLD HEMPHILL RD,,,1,,,,,,,,,,1
6100 S HULEN ST,,,,,,,,,,,1,,1
6100 SILVERLEAF CT,,,1,,,,,,,,,,1
6100 SOUTH LOOP INTERSTATE 820,,,1,,,,,,,,,,1
6100 SOUTH RIDGE RD,,1,,,,,,,,,,,1
6100 SOUTHWEST BL,,,,1,,,,,,,,,1
6100 SPRINGLEAF CI,,,1,,,,,,,,,,1
6100 STRIPER DR,,,,,,,1,,,,,,1
6100 VERANDAH CI,,,1,,,,,,,,,,1
6100 WALRAVEN CIR,,,,1,,,,,,,,,1
6100 WEST FREEWAY,,,,,,1,,,,,,,1
6100 WHITMAN AV,,1,,,,,,,,,,,1
6100 WINIFRED DR,,,,,,1,,,,,,,1
6200 ANDERSON RD,,,,,,1,,,,,,,1
6200 APALACHEE TRL,,,,,1,,,,,,,,1
6200 BROOKLYNN DR,,,,,,1,,,,,,,1
6200 CALMONT AV,,1,,,,,,,,,,,1
6200 CURZON AVE,,,,,,1,,,,,,,1
6200 DOVENSHIRE TER,,,,,,1,,,,,,,1
6200 FOREST HIGHLANDS DR,,,,,,1,,,,,,,1
6200 FORT WORTH AVE,,,,1,,,,,,,,,1
6200 GENEVA LN,,,,,1,,,,,,,,1
6200 GREENLEE ST,,,,,,1,,,,,,,1
6200 HOME PORT DR,,,,,,1,,,,,,,1
6200 ISADORA LN,,,,,,1,,,,,,,1
6200 JOHN RYAN DR,,,,,1,,,,,,,,1
6200 LAKE WORTH BL,,,,1,,,,,,,,,1
6200 LTJG BARNETT RD,,,,,,,1,,,,,,1
6200 MALVEY AVE,,,,,,1,,,,,,,1
6200 MARK IV PK,,,,,,,,,,,,1,1
6200 NORTHWEST LOOP INTERSTATE 820,,,1,,,,,,,,,,1
6200 NORTHWEST LOOP INTERSTATE 820 820 FREEWAY W,,,,,,1,,,,,,,1
6200 NW JIM WRIGHT FW,,,1,,,,,,,,,,1
6200 RAMEY AV,,,1,,,,,,,,,,1
6200 RAVENSWOOD DR,,,,1,,,,,,,,,1
6200 REDDENSON DR,,,1,,,,,,,,,,1
6200 SAGINAW BL,,,,,,1,,,,,,,1
6200 SALEM CI,,,1,,,,,,,,,,1
6200 SANDRA DR,,,,,,1,,,,,,,1
6200 SOUTH HULEN,,,,,,1,,,,,,,1
6200 SOUTHWEST LOOP INTERSTATE 820,,,1,,,,,,,,,,1
6200 SPRING RANCH DR,,,,,1,,,,,,,,1
6200 TRAIL LAKE DR,,,,,1,,,,,,,,1
6200 WATERMARK CT,,,,,,1,,,,,,,1
6300 APALACHEE TRL,,,,,1,,,,,,,,1
6300 CHALK HOLLOW DR,,,,,1,,,,,,,,1
6300 DEBRA CT,,,1,,,,,,,,,,1
6300 DOWNEAST DR,,,,,1,,,,,,,,1
6300 E LANCASTER AVE,,,,,,,,,,,,1,1
6300 EAST LOOP INTERSTATE 820 820 SOUTH,,,,,1,,,,,,,,1
6300 FIRTH RD,,,,,,1,,,,,,,1
6300 FRESHWATER LN,,,,,,1,,,,,,,1
6300 GRANITE CREEK DR,,,,,,1,,,,,,,1
6300 INDIAN CREEK DR,,,,,,1,,,,,,,1
6300 KENWICK AV,1,,,,,,,,,,,,1
6300 KRISTEN DR,,,,,,1,,,,,,,1
6300 LAKEWORTH BL,1,,,,,,,,,,,,1
6300 MELANIE DR,,,,,1,,,,,,,,1
6300 MIRANDA DR,,,,,1,,,,,,,,1
6300 NEWPORT CT,,,,,1,,,,,,,,1
6300 NORTH FW,,,,,1,,,,,,,,1
6300 OVERLAKE DR,,,,,1,,,,,,,,1
6300 PURINGTON AV,,,1,,,,,,,,,,1
6300 RAMEY AV,1,,,,,,,,,,,,1
6300 RIDGECREST TR,,,1,,,,,,,,,,1
6300 RIVERWATER TR,,1,,,,,,,,,,,1
6300 RUFE SNOW DR,,,,,,1,,,,,,,1
6300 SHADYDELL DR,,,,,1,,,,,,,,1
6300 SHASTA TR,,,1,,,,,,,,,,1
6300 SOUTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,,,1,,,,,1
6300 SPRING RANCH DR,,,,,1,,,,,,,,1
6300 STONEWATER BEND TR,,,1,,,,,,,,,,1
6300 STONEWATER BEND TRL,,,,,1,,,,,,,,1
6300 WALLINGFORD DR,,,,1,,,,,,,,,1
6300 WATERHILL LN,,1,,,,,,,,,,,1
6300 WESTRIDGE LN,,,,,1,,,,,,,,1
6300 WINIFRED DR,,,,,1,,,,,,,,1
6400 CAHOBA DR,,,,,1,,,,,,,,1
6400 CAMP BOWIE BLVD ED,,,,,,,,,,,,1,1
6400 CURZON AV,1,,,,,,,,,,,,1
6400 DRURY LN,,,,,1,,,,,,,,1
6400 FERSHAW PL,,,1,,,,,,,,,,1
6400 FIANNA HILLS DR,,,,,,1,,,,,,,1
6400 FRANWOOD TE,1,,,,,,,,,,,,1
6400 FRESHWATER LN,,,,,1,,,,,,,,1
6400 HART ST,,,,1,,,,,,,,,1
6400 HENCO DR,,,,,,1,,,,,,,1
6400 HIGH BROOK DR,,,1,,,,,,,,,,1
6400 INCA RD,,,,,1,,,,,,,,1
6400 LAMBETH LN,,1,,,,,,,,,,,1
6400 LONGMONT TRL,,,,,,1,,,,,,,1
6400 MC CART AVE,,,,,,,,,,,1,,1
6400 RAMEY AV,,,1,,,,,,,,,,1
6400 RIDGLEA CREST DR,,,,1,,,,,,,,,1
6400 S INTERSTATE 820 FW,,1,,,,,,,,,,,1
6400 SHASTA TRL,,,,,,,,,,,1,,1
6400 SOUTH FREEWAY,,,,,,1,,,,,,,1
6400 SOUTHWEST LOOP INTERSTATE 820,,,,,1,,,,,,,,1
6400 STONE CREEK TER,,,,,,1,,,,,,,1
6400 TRUMAN CT,,1,,,,,,,,,,,1
6400 VEGA DR,,,,1,,,,,,,,,1
6400 W PLEASANT RIDGE RD,,,,,1,,,,,,,,1
6400 WATERHILL LN,,,,,1,,,,,,,,1
6400 WESTCREEK DR,,,,,1,,,,,,,,1
6400 WINN ST,1,,,,,,,,,,,,1
6500 5 MELWOOD ST,,,1,,,,,,,,,,1
6500 ANDORA AVE,,,,,,1,,,,,,,1
6500 BROOKHAVEN TR,,1,,,,,,,,,,,1
6500 CALLAHAN CT,,,,,1,,,,,,,,1
6500 DARWOOD AVE,,,,,1,,,,,,,,1
6500 DIRKS RD,,,,,,1,,,,,,,1
6500 FAIRWAY GATE LN,,,,,,1,,,,,,,1
6500 FORTUNE RD,,,,,,1,,,,,,,1
6500 GENEVA LN,,,,,1,,,,,,,,1
6500 GILLIS JOHNSON ST,,,,,,1,,,,,,,1
6500 HICKOCK DR,,,1,,,,,,,,,,1
6500 MCCART AV,1,,,,,,,,,,,,1
6500 MCCART AVE,,,,1,,,,,,,,,1
6500 MEADOWBROOK,,,,,1,,,,,,,,1
6500 MESA RIDGE CT,,,,,,1,,,,,,,1
6500 NORTH FW,,1,,,,,,,,,,,1
6500 NORTH SOUTH FREEWAY,,,,,,1,,,,,,,1
6500 RAMEY AV,,1,,,,,,,,,,,1
6500 SAUCON VALLEY DR,,,,,1,,,,,,,,1
6500 SOUTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,,1,,,,,,1
6500 SPYGLASS HILL CT,,,,,1,,,,,,,,1
6500 VALENCIA GROVE PA,,,1,,,,,,,,,,1
6500 WATERHILL LN,,,,,,1,,,,,,,1
6500 WEST FR,,1,,,,,,,,,,,1
6500 WESTWORTH BL,,,,,1,,,,,,,,1
6600 ANDORA AV,,,1,,,,,,,,,,1
6600 ARMANDO AV,,,,1,,,,,,,,,1
6600 BASSWOOD DR,,,,1,,,,,,,,,1
6600 BRIDGE ST,,,,,,1,,,,,,,1
6600 CAHOBA DR,,,,,1,,,,,,,,1
6600 CANYON CREST DR,,,,,1,,,,,,,,1
6600 CORPORATION PKWY,,,,,,,,,,,,1,1
6600 COTSWOLD HILLS DR,,1,,,,,,,,,,,1
6600 CUCULU DR,,,,1,,,,,,,,,1
6600 CURZON AVE,,,,,1,,,,,,,,1
6600 E PEDEN RD,,,,,,,,,,,,1,1
6600 EAST FREEWAY,,,,,1,,,,,,,,1
6600 GASCONY PL,,,,,1,,,,,,,,1
6600 GILLIS JOHNSON ST,,,,,1,,,,,,,,1
6600 INTERSTATE 20 TO US 287 S,,,,,,,,,,,1,,1
6600 KINGSWOOD DR,,,,,1,,,,,,,,1
6600 LADERA PL,,,,1,,,,,,,,,1
6600 LONGLEAF CT,1,,,,,,,,,,,,1
6600 MCCART AV,,1,,,,,,,,,,,1
6600 NORTH FW,,1,,,,,,,,,,,1
6600 NORTH FW S SERVICE ROAD,1,,,,,,,,,,,,1
6600 RHEA RIDGE DR,,,,,1,,,,,,,,1
6600 S HULEN,,,,1,,,,,,,,,1
6600 S HULEN ST,,,,,,,,,,,1,,1
6600 SIERRA MADRE DR,,,,,,1,,,,,,,1
6600 SOFT SHELL DR,,,,1,,,,,,,,,1
6600 SOUTH FW,,1,,,,,,,,,,,1
6600 SOUTHWEST BL,,1,,,,,,,,,,,1
6600 SOUTHWEST LOOP INTERSTATE 820,,,,,1,,,,,,,,1
6600 WATERWOOD,1,,,,,,,,,,,,1
6600 WHISTLER CT,,,,,1,,,,,,,,1
6600 WICHITA ST,,,,,,1,,,,,,,1
6600 YORK ST,,,,,1,,,,,,,,1
6600 Z BOAZ PL,,,,,,,,,,,1,,1
6700 AUDUBON TRL,,1,,,,,,,,,,,1
6700 CAHOBA DR,,,,,,1,,,,,,,1
6700 CANYON CREST DR,,,,,1,,,,,,,,1
6700 CHALK RIVER DR,,,,1,,,,,,,,,1
6700 COOL MEADOW DR,,,,,,1,,,,,,,1
6700 DEL PRADO AVE,,,,1,,,,,,,,,1
6700 E LANCASTER AVE,,,,,,,,,,,1,,1
6700 FOSSIL PARK CT,,,,,,1,,,,,,,1
6700 GARY LN,,,,1,,,,,,,,,1
6700 GLEN MEADOW DR,,,,,1,,,,,,,,1
6700 GREENLEE ST,,,,,,,,,,,1,,1
6700 HALTOM RD,,,,,1,,,,,,,,1
6700 NORTHWEST LOOP INTERSTATE 820 820 FREEWAY W,,,,,,1,,,,,,,1
6700 RUNNING CREEK DR,,,1,,,,,,,,,,1
6700 SETH BARWISE ST,,1,,,,,,,,,,,1
6700 SPOONWOOD LN,,,,1,,,,,,,,,1
6700 STOCKTON DR,,,,,,1,,,,,,,1
6700 THAXTON TR,,,1,,,,,,,,,,1
6700 WEST LOOP INTERSTATE 820 820 SOUTH,,,,,,1,,,,,,,1
6700 WESTWORTH BL,,,,,1,,,,,,,,1
6700 WILTON DR,,,,,,1,,,,,,,1
6700 YOLANDA DR,,,,1,,,,,,,,,1
6800 ASHBURY DR,,,,1,,,,,,,,,1
6800 BLACK MESA CT,,,,,1,,,,,,,,1
6800 BRANTS LN,,,,1,,,,,,,,,1
6800 BRIARWOOD DR,1,,,,,,,,,,,,1
6800 COLDWATER CANYON RD,,,,,,1,,,,,,,1
6800 CRESTWOOD LN,,,,1,,,,,,,,,1
6800 DAN DANCIGER RD,,,,,,1,,,,,,,1
6800 DENVER CITY DR,,,,,,1,,,,,,,1
6800 DESCANSO GARDENS DR,,,,1,,,,,,,,,1
6800 DRIFFIELD CIR W,,,,,1,,,,,,,,1
6800 EAST FREEWAY,,,,,,,,1,,,,,1
6800 FRANWOOD TE,1,,,,,,,,,,,,1
6800 GARY LN,,,,,,1,,,,,,,1
6800 GLEN MEADOW DR,,,,,,1,,,,,,,1
6800 HEMPHILL ST,,,,,,1,,,,,,,1
6800 KIRKWOOD RD,,,,,1,,,,,,,,1
6800 LAHONTAN DR,,,,,1,,,,,,,,1
6800 LONGLEAF LN,,,1,,,,,,,,,,1
6800 MANHATTAN BL SUITE,,1,,,,,,,,,,,1
6800 MC CART AVE,,,,,,,,,,,1,,1
6800 MCCART AV,,1,,,,,,,,,,,1
6800 MCCART AVE,,,,1,,,,,,,,,1
6800 MOSSWOOD CT,1,,,,,,,,,,,,1
6800 NORTH FW,,,1,,,,,,,,,,1
6800 NORTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,,1,,,,,,1
6800 PERMIAN LN,,,,,1,,,,,,,,1
6800 RITTER LN,,,,,1,,,,,,,,1
6800 STATE HWY,,,,,,1,,,,,,,1
6800 SUNNYBANK DR,,,,,,1,,,,,,,1
6800 TREEHAVEN RD,1,,,,,,,,,,,,1
6800 W FREEWAY,,,,,1,,,,,,,,1
6800 WATERLOO LN,,,1,,,,,,,,,,1
6800 WAYFARER TRL,,,,,1,,,,,,,,1
6800 WELCH AV,1,,,,,,,,,,,,1
6800 WEST FREEWAY,,,,,1,,,,,,,,1
6800 WEST LOOP INTERSTATE 820 820 SOUTH,1,,,,,,,,,,,,1
6800 WHITE RIVER DR,,,1,,,,,,,,,,1
6800 WHITMAN AVE,,,,,,1,,,,,,,1
6800 WINDWOOD TRL,,,,,1,,,,,,,,1
6800 WINIFRED DR,,,,,1,,,,,,,,1
6900 AMBERDALE DR,,,,,1,,,,,,,,1
6900 BLACK WING DR,,1,,,,,,,,,,,1
6900 BLUE MOUND RD,,,,,,1,,,,,,,1
6900 BOB HANGER ST,,,,,1,,,,,,,,1
6900 CALMONT AV,,,1,,,,,,,,,,1
6900 CHURCH PARK DR,,,,,1,,,,,,,,1
6900 CLUB CREEK DR,,,,,,1,,,,,,,1
6900 DANIELDALE DR,,,1,,,,,,,,,,1
6900 DENVER CITY DR,,1,,,,,,,,,,,1
6900 EDERVILLE RD,,,,,,1,,,,,,,1
6900 GREEN VALLEY CR,,,,,,1,,,,,,,1
6900 ISHAM ST,,1,,,,,,,,,,,1
6900 JEWELL AV,,1,,,,,,,,,,,1
6900 KIPLING ST,,,,,,1,,,,,,,1
6900 LAUREL CANYON TER,,,,,,1,,,,,,,1
6900 MARGARET DR,,,,,,1,,,,,,,1
6900 MARTHA LN,,,,,1,,,,,,,,1
6900 MCCRACKEN CT,,,,,,,,,,,1,,1
6900 NINE MILE RD,1,,,,,,,,,,,,1
6900 NORTHWEST LOOP INTERSTATE 820 820 FREEWAY W,,,,,,1,,,,,,,1
6900 OCEANO TE,,,1,,,,,,,,,,1
6900 OVERHILL RD,,,,,1,,,,,,,,1
6900 RED FOX TR,,,1,,,,,,,,,,1
6900 RIVER PARK CI,,,1,,,,,,,,,,1
6900 S JIM WRIGHT FW,,1,,,,,,,,,,,1
6900 SAN ANTONIO DR,,,,,1,,,,,,,,1
6900 SANCTUARY HEIGHTS RD,,,,,1,,,,,,,,1
6900 SERRANO DR,,1,,,,,,,,,,,1
6900 SETH BARWISE ST,,,,,,1,,,,,,,1
6900 SOUTHWEST BL,,,,,1,,,,,,,,1
6900 STOCKTON DR,,,,,,1,,,,,,,1
6900 STONE FOREST DR,,,,,1,,,,,,,,1
6900 TRAPPINGHAM TER,,,,,1,,,,,,,,1
6900 VISTA RIDGE CT,,,,,1,,,,,,,,1
6900 W CREEKHAVEN DR,,,,,,,,,,,1,,1
6900 WEST LOOP INTERSTATE 820 820 SOUTH,,,,,,1,,,,,,,1
6900 WESTCREEK DR,,,,,1,,,,,,,,1
